data,time_start,time_stop,count_move,caps_num,size_rect,count_rect,screen
20200101,010101,010101,0,0.0,0,0,none
20200529,221254,224259,774,1789760.6666666667,2201.0,3,20200529-221254-224259.jpg
20200529,224304,231309,1104,1787786.0,1103.0,8,20200529-224304-231309.jpg
20200529,231314,234319,435,1790179.6666666667,1260.5,3,20200529-231314-234319.jpg
20200529,234324,000004,216,995634.3333333334,211.0,3,20200529-234324-000004.jpg
20200530,000009,003014,10,1787211.0,112.0,1,20200530-000009-003014.jpg
20200530,003019,010024,215,1788842.0,2707.5,7,20200530-003019-010024.jpg
20200530,010029,013034,145,1805280.3333333335,235.0,3,20200530-010029-013034.jpg
20200530,013039,020044,1748,1799544.3333333335,2065.5,6,20200530-013039-020044.jpg
20200530,020340,023345,0,1797061.6666666667,0,0,none
20200530,023350,030355,25,1791543.3333333335,217.5,1,20200530-023350-030355.jpg
20200530,030400,033405,1332,1794512.3333333333,316.5,8,20200530-030400-033405.jpg
20200530,033410,040415,42317,1801388.6666666667,74089.5,54,20200530-033410-040415.jpg
20200530,040420,043425,14998,1803797.6666666667,139720.0,61,20200530-040420-043425.jpg
20200530,043430,050435,967,1799112.3333333335,462.0,10,20200530-043430-050435.jpg
20200530,050440,053445,4061,1742204.0000000002,991.0,10,20200530-050440-053445.jpg
20200530,060552,063557,43213,1694737.0,34031.5,68,20200530-060552-063557.jpg
20200530,063602,070607,15277,1759530.0,6004.0,38,20200530-063602-070607.jpg
20200530,070612,073617,37290,1780865.3333333335,12373.0,78,20200530-070612-073617.jpg
20200530,073622,080627,44896,1732011.6666666667,31680.5,90,20200530-073622-080627.jpg
20200530,080632,083637,35885,1799669.0,33464.0,70,20200530-080632-083637.jpg
20200530,083642,090647,44447,1787964.6666666667,3404.5,64,20200530-083642-090647.jpg
20200530,100645,103650,50554,1797649.3333333335,3350.5,69,20200530-100645-103650.jpg
20200530,103655,110700,35867,1793915.6666666667,12525.5,62,20200530-103655-110700.jpg
20200530,110705,113710,23991,1799344.3333333335,1938.0,57,20200530-110705-113710.jpg
20200530,113715,120720,54078,1802934.0000000002,2300.5,59,20200530-113715-120720.jpg
20200530,120725,123730,50985,1750845.0,8331.5,37,20200530-120725-123730.jpg
20200530,123735,130740,36554,1747677.3333333333,6257.0,23,20200530-123735-130740.jpg
20200530,130745,133750,1546,1798342.6666666667,7422.0,9,20200530-130745-133750.jpg
20200530,140538,143543,1120,1796469.3333333335,5565.5,18,20200530-140538-143543.jpg
20200530,143548,150553,920,1805498.3333333335,5604.5,7,20200530-143548-150553.jpg
20200530,150558,153603,6827,1800454.3333333333,5841.0,38,20200530-150558-153603.jpg
20200530,153608,160613,20052,1682401.6666666667,6545.5,16,20200530-153608-160613.jpg
20200530,180620,183625,35561,1752143.0,3562.0,61,20200530-180620-183625.jpg
20200530,183630,190635,35300,1803147.3333333333,4833.0,62,20200530-183630-190635.jpg
20200530,190640,193645,53814,1794134.0,4451.0,62,20200530-190640-193645.jpg
20200530,193650,200655,50873,1770994.0000000002,128210.5,95,20200530-193650-200655.jpg
20200530,221404,224409,51045,1791148.3333333333,1115.5,26,20200530-221404-224409.jpg
20200530,224414,231419,9481,1795535.3333333335,1260.5,27,20200530-224414-231419.jpg
20200530,231424,234429,7120,1802637.6666666667,2042.5,25,20200530-231424-234429.jpg
20200530,234434,000004,1892,932567.6666666667,613.0,22,20200530-234434-000004.jpg
20200531,000009,003014,2569,1800464.6666666667,949.5,17,20200531-000009-003014.jpg
20200531,003019,010024,523,1807280.0000000002,294.5,10,20200531-003019-010024.jpg
20200531,010029,013034,4046,1805063.0,539.0,21,20200531-010029-013034.jpg
20200531,013039,020044,6652,1796701.6666666667,620.0,25,20200531-013039-020044.jpg
20200531,020554,023559,9504,1795614.3333333335,814.5,26,20200531-020554-023559.jpg
20200531,023604,030609,52756,1787597.6666666667,1028.0,32,20200531-023604-030609.jpg
20200531,030614,033619,39224,1787166.6666666667,25269.5,60,20200531-030614-033619.jpg
20200531,033624,040629,45446,1795353.3333333335,139720.0,92,20200531-033624-040629.jpg
20200531,040634,043639,41959,1787719.3333333335,19237.0,68,20200531-040634-043639.jpg
20200531,043644,050649,42848,1789073.6666666667,12115.0,72,20200531-043644-050649.jpg
20200531,050654,053659,53456,1795232.3333333335,2355.5,55,20200531-050654-053659.jpg
20200531,060620,063625,52462,1748885.3333333335,3492.0,68,20200531-060620-063625.jpg
20200531,063630,070635,52217,1742316.3333333335,2692.0,57,20200531-063630-070635.jpg
